epoch,train_loss,train_iou,val_loss,val_iou,epoch_time_s
1,0.446191,0.631635,0.422579,0.650184,116.124943
2,0.424613,0.656967,0.420239,0.658854,128.525543
3,0.422775,0.658998,0.419363,0.659617,124.215222
4,0.421759,0.659507,0.420183,0.65611,119.259738
5,0.421846,0.659951,0.419849,0.659925,120.660466
6,0.421835,0.660039,0.419368,0.660762,120.867965
7,0.421455,0.65993,0.41917,0.660498,120.899397
8,0.421308,0.660388,0.420065,0.660878,121.681373
9,0.421633,0.66032,0.419193,0.658682,122.255462
10,0.421029,0.660628,0.419,0.658793,123.040471
11,0.421343,0.660524,0.419186,0.660588,122.564876
12,0.420255,0.661202,0.420512,0.661116,122.674147
13,0.421065,0.660217,0.419034,0.660381,125.992944
14,0.42052,0.660972,0.418914,0.659873,128.576576
15,0.420929,0.661022,0.419173,0.660322,128.832162
16,0.42047,0.661139,0.419057,0.659628,128.835359
17,0.42107,0.660648,0.419071,0.660779,129.19771
18,0.420917,0.661007,0.419109,0.660467,130.371928
19,0.420566,0.660724,0.41936,0.66003,130.237483
20,0.420799,0.661107,0.419023,0.659433,130.764965
21,0.420443,0.660547,0.419085,0.660548,131.396846
22,0.419949,0.661722,0.41887,0.659435,130.612069
23,0.420296,0.661016,0.419063,0.660157,131.156086
24,0.420136,0.661053,0.418912,0.660304,130.868449
