epoch,train_loss,train_iou,val_loss,val_iou,epoch_time_s
1,0.400256,0.694194,0.486408,0.626197,139.228836
2,0.424678,0.653771,0.420913,0.661768,138.763668
3,0.422989,0.657697,0.419406,0.660189,138.45859
4,0.421809,0.659618,0.419488,0.660501,138.500649
5,0.421854,0.659745,0.41987,0.660304,138.952142
6,0.421828,0.659937,0.419602,0.660858,138.597724
7,0.421339,0.66037,0.419952,0.660766,139.003878
8,0.421589,0.660488,0.420919,0.661632,138.844904
9,0.421405,0.66057,0.419189,0.660598,139.280917
10,0.420636,0.660747,0.419097,0.660097,139.903987
11,0.420357,0.661023,0.418977,0.659658,139.285779
12,0.421312,0.660509,0.419158,0.659886,139.787138
13,0.420623,0.660606,0.419682,0.660749,139.11302
14,0.420027,0.661219,0.419018,0.660415,138.903214
