epoch,train_loss,train_iou,val_loss,val_iou,epoch_time_s
1,0.566469,0.62121,0.5341,0.652771,119.735993
2,0.54352,0.651876,0.534908,0.655136,125.933858
3,0.540724,0.653947,0.533633,0.651305,127.479758
4,0.539252,0.654946,0.535513,0.650071,130.165088
5,0.539677,0.655358,0.533876,0.657701,134.15749
6,0.538962,0.65582,0.533637,0.657047,138.24089
7,0.53836,0.655663,0.533608,0.657451,136.228706
8,0.538539,0.655959,0.534711,0.658536,137.528597
9,0.538697,0.655747,0.534061,0.657549,128.223606
10,0.538176,0.656049,0.533244,0.655866,132.435536
11,0.538481,0.65593,0.534301,0.655271,128.252592
12,0.537202,0.656749,0.534619,0.658173,128.136763
13,0.537682,0.656173,0.533524,0.658278,142.927987
14,0.537529,0.656598,0.533731,0.655356,133.608601
15,0.538039,0.65642,0.533527,0.655887,129.315475
16,0.537452,0.656835,0.53306,0.656174,128.616479
17,0.537685,0.656574,0.533608,0.658886,130.798228
18,0.537498,0.657044,0.533522,0.657952,129.727844
19,0.537015,0.656093,0.533897,0.658197,130.427748
20,0.537471,0.656708,0.533884,0.656577,135.770337
21,0.537376,0.655676,0.533793,0.658264,136.197229
22,0.536519,0.657543,0.533371,0.654942,136.319832
23,0.53684,0.656797,0.533616,0.657776,136.281542
24,0.536622,0.656417,0.533587,0.658631,137.52695
25,0.536599,0.656985,0.533366,0.657947,136.46631
26,0.536792,0.65692,0.533189,0.657058,136.850942
27,0.536211,0.656881,0.533391,0.657627,136.814516
28,0.536402,0.656917,0.533041,0.657138,136.578765
29,0.537072,0.656453,0.533073,0.655762,136.822289
