epoch,train_loss,train_iou,val_loss,val_iou,epoch_time_s
1,0.190066,0.874066,0.127486,0.9337,138.070558
2,0.109477,0.934952,0.080695,0.954903,138.497363
3,0.08193,0.942632,0.068241,0.951979,138.589716
4,0.065265,0.946872,0.053964,0.955438,138.442772
5,0.054133,0.950345,0.055655,0.944242,138.726559
6,0.14669,0.807391,0.564991,0.327412,140.83743
7,0.240993,0.66075,0.29909,0.59883,137.194846
8,0.23743,0.662579,0.268208,0.630039,137.468983
9,0.235524,0.662953,0.253836,0.647207,137.28949
10,0.233939,0.663528,0.251253,0.648776,138.0494
11,0.233368,0.663706,0.247284,0.653619,137.821653
12,0.23247,0.663985,0.258632,0.643304,137.504901
13,0.231723,0.664095,0.246939,0.652839,142.853421
14,0.231582,0.66392,0.245756,0.652281,138.346161
15,0.231359,0.66379,0.242228,0.6544,138.599429
16,0.230743,0.664167,0.247571,0.651514,138.7893
